delivery_id,supplier_id,component_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,delivery_status,month,is_late,late_days,is_partial,delay_bucket,supplier_name,country,category
D0008669,S001,C0212,2024-02-19,2024-03-03,2024-03-04,15347,15347,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Nippon Substrate Co.,Japan,Carrier Tapes/Trays
D0002176,S015,C0052,2024-02-19,2024-03-21,2024-03-21,19149,19149,On-Time,2024-03,0,0.0,0,On-time,K&S Precision Tools,Korea,Leadframes
D0000450,S005,C0018,2024-02-19,2024-03-25,2024-03-25,5525,5525,On-Time,2024-03,0,0.0,0,On-time,Silicon Precision Works,Singapore,Organic Substrates
D0000499,S008,C0019,2024-02-19,2024-04-08,2024-04-09,8919,8919,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Micron Substrates Eu,Singapore,Organic Substrates
D0007348,S016,C0170,2024-02-19,2024-03-11,2024-03-12,16632,16632,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Amkor Assembly Supplies,China,Solder Balls/Spheres
D0002506,S016,C0058,2024-02-19,2024-03-22,2024-03-22,10619,10619,On-Time,2024-03,0,0.0,0,On-time,Amkor Assembly Supplies,China,Leadframes
D0009305,S004,C0229,2024-02-19,2024-03-19,2024-03-20,529,529,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Korea Probe Solutions,Korea,Nozzles/Capillaries
D0007714,S015,C0184,2024-02-19,2024-05-06,2024-05-06,248,248,On-Time,2024-05,0,0.0,0,On-time,K&S Precision Tools,Korea,Test Sockets
D0009092,S008,C0222,2024-02-19,2024-03-13,2024-03-14,12214,12214,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Micron Substrates Eu,Singapore,Carrier Tapes/Trays
D0009391,S012,C0232,2024-02-19,2024-03-27,2024-03-28,132,132,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Spil Components Ltd.,Singapore,Nozzles/Capillaries
D0004439,S005,C0098,2024-02-20,2024-03-25,,4287,4287,Unknown,2024-03,0,,0,Undelivered (open),Silicon Precision Works,Singapore,Mold Compound
D0009252,S005,C0227,2024-02-20,2024-03-27,2024-03-28,388,388,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Silicon Precision Works,Singapore,Nozzles/Capillaries
D0009223,S003,C0226,2024-02-20,2024-04-19,2024-04-20,190,190,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Taiwan Advanced Materials,United States,Nozzles/Capillaries
D0006476,S005,C0154,2024-02-20,2024-04-15,2024-04-17,20573,20573,Delayed,2024-04,1,2.0,0,Moderate delay (1–13d),Silicon Precision Works,Singapore,Solder Balls/Spheres
D0008977,S005,C0219,2024-02-20,2024-03-30,2024-04-13,9322,7195,Delayed,2024-03,1,14.0,0,Severe delay (14d+),Silicon Precision Works,Singapore,Carrier Tapes/Trays
D0007174,S004,C0167,2024-02-20,2024-03-23,2024-03-23,32347,32347,On-Time,2024-03,0,0.0,0,On-time,Korea Probe Solutions,Korea,Solder Balls/Spheres
D0007464,S012,C0172,2024-02-20,2024-03-27,2024-03-28,15672,11754,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Spil Components Ltd.,Singapore,Solder Balls/Spheres
D0000343,S009,C0016,2024-02-20,2024-03-25,2024-03-26,4276,4053,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Organic Substrates
D0008251,S009,C0202,2024-02-20,2024-03-21,2024-03-22,20554,20554,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Carrier Tapes/Trays
D0008714,S011,C0213,2024-02-20,2024-03-14,2024-03-14,7456,7456,On-Time,2024-03,0,0.0,0,On-time,Ase Materials Division,Japan,Carrier Tapes/Trays
D0005731,S012,C0135,2024-02-20,2024-04-11,2024-04-12,2163,2163,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Spil Components Ltd.,Singapore,Underfill/Epoxy
D0003447,S012,C0076,2024-02-20,2024-04-02,2024-04-03,7503,7503,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Spil Components Ltd.,Singapore,Bonding Wire (Au/Cu)
D0000001,S007,C0001,2024-02-20,2024-05-05,2024-05-05,41,41,On-Time,2024-05,0,0.0,0,On-time,Globaltest Equipment,China,Silicon Wafers
D0002614,S011,C0060,2024-02-20,2024-03-15,2024-03-16,4772,4772,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Ase Materials Division,Japan,Leadframes
D0001857,S005,C0046,2024-02-20,2024-03-30,2024-03-30,6999,6999,On-Time,2024-03,0,0.0,0,On-time,Silicon Precision Works,Singapore,Leadframes
D0009476,S012,C0235,2024-02-20,2024-04-01,2024-04-04,194,194,Delayed,2024-04,1,3.0,0,Moderate delay (1–13d),Spil Components Ltd.,Singapore,Nozzles/Capillaries
D0002065,S009,C0050,2024-02-20,2024-03-12,2024-03-14,14809,14809,Delayed,2024-03,1,2.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Leadframes
D0002722,S012,C0062,2024-02-20,2024-03-12,2024-04-01,23292,23292,Delayed,2024-03,1,20.0,0,Severe delay (14d+),Spil Components Ltd.,Singapore,Leadframes
D0009278,S003,C0228,2024-02-21,2024-04-15,2024-04-18,255,255,Delayed,2024-04,1,3.0,0,Moderate delay (1–13d),Taiwan Advanced Materials,United States,Nozzles/Capillaries
D0005538,S004,C0129,2024-02-21,2024-04-13,2024-04-13,2543,2543,On-Time,2024-04,0,0.0,0,On-time,Korea Probe Solutions,Korea,Die Attach Film/Paste
D0000550,S011,C0020,2024-02-21,2024-04-17,2024-04-17,3094,3094,On-Time,2024-04,0,0.0,0,On-time,Ase Materials Division,Japan,Organic Substrates
D0006682,S011,C0158,2024-02-21,2024-03-23,2024-03-23,13875,13875,On-Time,2024-03,0,0.0,0,On-time,Ase Materials Division,Japan,Solder Balls/Spheres
D0002830,S003,C0064,2024-02-21,2024-03-18,2024-03-19,9399,8499,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Taiwan Advanced Materials,United States,Leadframes
D0007746,S003,C0186,2024-02-21,2024-04-14,,144,144,Unknown,2024-04,0,,0,Undelivered (open),Taiwan Advanced Materials,United States,Test Sockets
D0007813,S008,C0190,2024-02-21,2024-04-21,2024-04-21,97,97,On-Time,2024-04,0,0.0,0,On-time,Micron Substrates Eu,Singapore,Test Sockets
D0008498,S013,C0208,2024-02-21,2024-03-08,2024-03-09,13530,13530,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Hanwa Leadframes,Malaysia,Carrier Tapes/Trays
D0002230,S005,C0053,2024-02-21,2024-03-13,2024-03-13,20380,20380,On-Time,2024-03,0,0.0,0,On-time,Silicon Precision Works,Singapore,Leadframes
D0007234,S012,C0168,2024-02-21,2024-03-22,2024-03-23,16020,16020,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Spil Components Ltd.,Singapore,Solder Balls/Spheres
D0006531,S016,C0155,2024-02-21,2024-03-18,2024-03-19,12386,12386,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Amkor Assembly Supplies,China,Solder Balls/Spheres
